CumulativeImmune,CumulativePopulation,CumulativeSick,CumulativeSusceptible,CumulativeVaccinated,ProportionImmune,ProportionSick,ProportionSusceptible,ProportionVaccinated,immunityPeriod,infectiousPeriod,socialDistancingLevels,vaccinationRate,openmole$experiment,temp
3986.4,11084.5,3449.6,2698.2,950.3,0.3595,0.3114,0.2438,0.0854,10.91191122,3.076903814,2.002424715,3.91E-01,689,9.77E-04
3936.2,11128.1,3414.4,2826.8,950.7,0.3536,0.3069,0.2543,0.0852,10.60348433,2.853292011,2.666248712,8.99E-02,681,2.25E-04
4507.2,12722.1,3910.5,3207.1,1097.3,0.3543,0.3075,0.2525,0.0859,9.137840636,2.5811425,1.666206876,8.86E-01,686,0.002215751
3820.4,10913.2,3411.7,2676.1,1005,0.3498,0.3127,0.2455,0.092,10.77157315,3.652896756,2.555858759,1.44E+00,695,0.00361124
3791.9,10846.6,3435.9,2599.3,1019.5,0.3495,0.3168,0.2398,0.0937,10.86978413,3.783044661,1.045187612,1.91E+00,801,0.004772937
3902.3,10972,3399.4,2640.8,1029.5,0.3555,0.3098,0.2409,0.0936,10.97608412,3.273296989,2.056026952,1.69E+00,693,0.004236297
4098.1,11635.3,3509.8,3013.6,1013.8,0.352,0.3017,0.2596,0.0868,9.570156732,2.17739625,2.204236753,1.19E+00,815,0.002986821
4165.1,11994.6,3531,3085.4,1213.1,0.347,0.2946,0.2575,0.1006,9.661184999,2.071180425,1.110979389,1.89E+00,662,0.004718548
4059,11748.6,3743.3,2988.1,958.2,0.3454,0.3186,0.2545,0.0816,9.800896516,3.264909379,1.752026571,3.08E-01,676,7.69E-04
3974,11369.2,3463.5,2939,992.7,0.3493,0.3045,0.2587,0.0873,10.27642469,2.52795239,2.472065958,8.50E-01,678,0.002125967
3986.2,11375.4,3531.8,2870.6,986.8,0.3502,0.3107,0.2526,0.0865,10.48974628,3.313496564,2.46795254,8.21E-01,673,0.002053533
3963.1,11219.2,3462.2,2809.6,984.3,0.3532,0.3087,0.2507,0.0875,10.67787537,3.120359507,2.393947587,1.00E+00,724,0.002506094
4144.3,12051,3805.7,3040.8,1060.2,0.3435,0.3157,0.2534,0.0874,9.938909132,3.317275659,1.485028768,1.23E+00,726,0.003083836
3880.8,11427.9,3531.5,2951.6,1064,0.3397,0.3091,0.2586,0.0928,9.970730242,3.103784528,1.903318691,1.83E+00,734,0.004571517
4099.9,11597.4,3555.1,2973.1,969.3,0.3533,0.3065,0.2567,0.0835,10.16434167,2.528425835,2.458371937,7.01E-02,791,1.75E-04
4176.5,12112.6,3786.4,3098.2,1051.5,0.3447,0.3127,0.2561,0.0865,9.731586361,3.162408473,2.908835493,1.09E+00,796,0.002716429
3903.3,11297.4,3560.2,2892.1,941.8,0.3452,0.3153,0.2562,0.0833,10.27249016,3.100210001,1.08620497,1.77E-01,793,4.42E-04
4161,11808.7,3650.6,3038.8,958.3,0.3522,0.3093,0.2579,0.0811,9.181320888,2.465639583,2.061447227,4.44E-01,803,0.001109353
3943.1,11672.4,3724.7,3029.3,975.3,0.3377,0.319,0.26,0.0833,9.591621892,3.594177642,2.553464108,6.56E-01,710,0.001640589
3891.9,11641.4,3626.6,3002.4,1120.5,0.3341,0.3113,0.2583,0.0961,9.672903193,3.65571155,2.935859956,1.96E+00,701,0.004912109
3902.8,11076.6,3404.8,2785.9,983.1,0.3524,0.3076,0.2519,0.0882,10.74301999,2.847465891,2.140057685,1.09E+00,715,0.002729423
3954.8,11687.6,3721,2996.3,1015.5,0.3383,0.3184,0.2567,0.0867,9.733637638,3.661919079,2.893945718,1.22E+00,707,0.003062411
4191.6,11944,3695.4,3074.9,982.1,0.3503,0.3096,0.2583,0.0816,9.279581472,2.541325027,1.690124445,6.24E-01,706,0.001560509
4311.8,12584.6,3980.6,3175.7,1116.5,0.3424,0.3164,0.2526,0.0888,9.475919202,3.36343139,1.782482752,1.38E+00,712,0.00345744
3894.5,11382.9,3638.9,2941.9,907.6,0.3418,0.32,0.259,0.0793,9.930417785,3.539865021,2.353418899,1.22E-01,718,3.04E-04
4125.6,12114.1,3917.3,3077.8,993.4,0.3405,0.3233,0.2541,0.0818,9.285576507,3.770431882,1.932126516,7.90E-01,729,0.001974327
